Sentence,Label
මම වැඩ කරනවා,0
මම හොදින් වැඩ කරන්නේය,0
මම පාඩම් කරනවා,0
මම ගෙවතු වැඩ කරන්නේය,0
මම සේවය කරයි,0
මම රැකියාව කරති,0
මම ඊයේ වැඩ කළේය,0
මම ගෙදර වැඩ කළා,0
මම කාර්යාල වැඩ කළහ,0
මම සාමූහික වැඩ කළෙමු,0
මම වැඩ කරමු,0
මම අධ්‍යාපන කටයුතු කරනවා,0
මම පරිගණක වැඩ කරන්නේය,0
මම ව්‍යාපාර කරයි,0
මම සමාජ සේවය කරති,0
මම පර්යේෂණ කළේය,0
මම ලිපි කටයුතු කළා,0
මම සාකච්ඡා කළහ,0
මම කණ්ඩායම් වැඩ කළෙමු,0
මම නව යෝජනා කරමු,0
මම මුදල් පරිහරණය කරනවා,0
මම ගිණුම් වැඩ කරන්නේය,0
මම විශ්ලේෂණ කරයි,0
මම සැලසුම් කරති,0
මම නිර්මාණ කළේය,0
මම චිත්‍ර ඇඳීම් කළා,0
මම සංගීත වාදනය කළහ,0
මම කණ්ඩායම් ක්‍රීඩා කළෙමු,0
මම නව නිපැයුම් කරමු,0
මම පරිසර සංරක්ෂණය කරනවා,0
මම සත්ව සුරැකුම් කරන්නේය,0
මම ශිෂ්‍ය උපදේශන කරයි,0
මම ගුරු සේවය කරති,0
මම සමාජ සේවා කළේය,0
මම රෝගී සත්කාර කළා,0
මම වෛද්‍ය සේවා කළහ,0
මම සෞඛ්‍ය සේවා කළෙමු,0
මම සමාජ සුභසාධන කරමු,0
මම පරිගණක මෘදුකාංග සැකසුම් කරනවා,0
මම වෙබ් අඩවි නිර්මාණ කරන්නේය,0
මම තොරතුරු තාක්ෂණ සේවා කරයි,0
මම දත්ත විශ්ලේෂණ කරති,0
මම පරිගණක යන්ත්‍ර අලුත්වැඩියා කළේය,0
මම ජාල පද්ධති නඩත්තු කළා,0
මම පරිගණක ආරක්ෂණ කළහ,0
මම තාක්ෂණික සහය කළෙමු,0
මම නව තාක්ෂණ යෙදවුම් කරමු,0
මම ඉංජිනේරු සේවා කරනවා,0
මම යන්ත්‍ර නඩත්තු කරන්නේය,0
මම විදුලි පද්ධති සැකසුම් කරයි,0
මම ගොඩනැගිලි සැලසුම් කරති,0
මම මාර්ග ඉදිකිරීම් කළේය,0
මම පාලම් ඉදිකිරීම් කළා,0
මම ජල සම්පාදන කළහ,0
මම සනීපාරක්ෂක සේවා කළෙමු,0
මම නව ඉදිකිරීම් කරමු,0
මම කෘෂිකාර්මික කටයුතු කරනවා,0
මම ගොවිතැන් කරන්නේය,0
මම බෝග වගා කරයි,0
මම එළවළු වගා කරති,0
මම පලතුරු වගා කළේය,0
මම බිම් සැකසුම් කළා,0
මම පොහොර යෙදීම් කළහ,0
මම කෘමි පාලන කළෙමු,0
මම අස්වනු නෙලීම් කරමු,0
මම අධ්‍යාපන පර්යේෂණ කරනවා,0
මම විද්‍යාත්මක පරීක්ෂණ කරන්නේය,0
මම සමාජ විද්‍යා පර්යේෂණ කරයි,0
මම මනෝ විද්‍යා අධ්‍යයන කරති,0
මම භාෂා පර්යේෂණ කළේය,0
මම සාහිත්‍ය විචාර කළා,0
මම කලා විවේචන කළහ,0
මම සංස්කෘතික අධ්‍යයන කළෙමු,0
මම නව සොයාගැනීම් කරමු,0
මම මාධ්‍ය වැඩ කරනවා,0
මම පුවත්පත් වාර්තාකරණ කරන්නේය,0
මම රූපවාහිනී වැඩසටහන් කරයි,0
මම ගුවන්විදුලි වැඩසටහන් කරති,0
මම මාධ්‍ය විශ්ලේෂණ කළේය,0
මම ප්‍රවෘත්ති වාර්තාකරණ කළා,0
මම සජීව විකාශන කළහ,0
මම වාර්තා චිත්‍රපට නිෂ්පාදන කළෙමු,0
මම නව මාධ්‍ය නිර්මාණ කරමු,0
මම වෙළඳ ප්‍රචාරණ කරනවා,0
මම අලෙවිකරණ කරන්නේය,0
මම වෙළඳ ප්‍රවර්ධන කරයි,0
මම මහජන සම්බන්ධතා කරති,0
මම වෙළඳ ප්‍රදර්ශන කළේය,0
මම නිෂ්පාදන හඳුන්වාදීම් කළා,0
මම වෙළඳපල සමීක්ෂණ කළහ,0
මම පාරිභෝගික සමීක්ෂණ කළෙමු,0
මම නව වෙළඳ උපාය කරමු,0
මම ක්‍රීඩා පුහුණු කරනවා,0
මම ව්‍යායාම කරන්නේය,0
මම යෝග පුහුණු කරයි,0
මම දිවීම් පුහුණු කරති,0
මම පිහිනුම් පුහුණු කළේය,0
මම බර ඉසිලීම් කළා,0
මම මලල ක්‍රීඩා කළහ,0
මම ක්‍රිකට් පුහුණු කළෙමු,0
මම නව ක්‍රීඩා ක්‍රම කරමු,0
මම සංගීත රචනා කරනවා,0
මම ගීත රචනා කරන්නේය,0
මම සංගීත නිෂ්පාදන කරයි,0
මම වාද්‍ය භාණ්ඩ වාදන කරති,0
මම සංගීත ප්‍රසංග කළේය,0
මම ගායන ඉදිරිපත් කළා,0
මම නර්තන ඉදිරිපත් කළහ,0
මම සාම්ප්‍රදායික නැටුම් කළෙමු,0
මම නව සංගීත නිර්මාණ කරමු,0
මම පරිසර සංරක්ෂණ කරනවා,0
මම වන සංරක්ෂණ කරන්නේය,0
මම ජල සංරක්ෂණ කරයි,0
මම සත්ව සංරක්ෂණ කරති,0
මම පාරිසරික අධ්‍යයන කළේය,0
මම ස්වභාව සමීක්ෂණ කළා,0
මම පරිසර පිරිසිදු කිරීම් කළහ,0
මම ප්‍රතිචක්‍රීකරණ කළෙමු,0
මම නව පාරිසරික ව්‍යාපෘති කරමු,0
මම සමාජ සේවා කරනවා,0
මම ළමා සුභසාධන කරන්නේය,0
මම වැඩිහිටි සත්කාර කරයි,0
මම ආබාධිත සුභසාධන කරති,0
මම දිළිඳු සහන කළේය,0
මම ආපදා සහන කළා,0
මම ප්‍රජා සංවර්ධන කළහ,0
මම සමාජ සවිබල ගැන්වීම් කළෙමු,0
මම නව සමාජ වැඩසටහන් කරමු,0
මම පරිවර්තන කරනවා,0
මම භාෂා පරිවර්තන කරන්නේය,0
මම ලේඛන සැකසුම් කරයි,0
මම ලිපි සම්පාදන කරති,0
මම පොත් රචනා කළේය,0
මම කතා රචනා කළා,0
මම කවි රචනා කළහ,0
මම සඟරා සම්පාදන කළෙමු,0
මම නව රචනා කරමු,0
මම නීති උපදේශන කරනවා,0
මම නීති සේවා කරන්නේය,0
මම නීති පර්යේෂණ කරයි,0
මම නඩු කටයුතු කරති,0
මම ගිවිසුම් සැකසුම් කළේය,0
මම නීති ලේඛන සැකසුම් කළා,0
මම නීති විශ්ලේෂණ කළහ,0
මම නීති උපදේශන කළෙමු,0
මම නව නීති යෝජනා කරමු,0
මම මූල්‍ය කළමනාකරණ කරනවා,0
මම ගිණුම් කටයුතු කරන්නේය,0
මම ආයෝජන කරයි,0
මම මූල්‍ය සැලසුම් කරති,0
මම බදු සැලසුම් කළේය,0
මම මූල්‍ය විශ්ලේෂණ කළා,0
මම විගණන කටයුතු කළහ,0
මම අයවැය සැකසුම් කළෙමු,0
මම නව මූල්‍ය සැලසුම් කරමු,0
මම සැලසුම් සකස් කරනවා,0
මම නිර්මාණ සැලසුම් කරන්නේය,0
මම ගෘහ නිර්මාණ කරයි,0
මම භූ දර්ශන සැලසුම් කරති,0
මම අභ්‍යන්තර සැලසුම් කළේය,0
මම කලා නිර්මාණ කළා,0
මම මූර්ති නිර්මාණ කළහ,0
මම සිතුවම් නිර්මාණ කළෙමු,0
මම නව කලා නිර්මාණ කරමු,0
මම සමාජ මාධ්‍ය කළමනාකරණ කරනවා,0
මම අන්තර්ජාල අලෙවි කරන්නේය,0
මම ඩිජිටල් අලෙවිකරණ කරයි,0
මම වෙබ් අඩවි කළමනාකරණ කරති,0
මම මාර්ගගත වෙළඳාම් කළේය,0
මම ඩිජිටල් ප්‍රචාරණ කළා,0
මම සමාජ ජාල ප්‍රවර්ධන කළහ,0
මම අන්තර්ගත නිෂ්පාදන කළහ,0
මම වැඩ කරමි,1
මම හොදින් වැඩ කරන්නෙමි,1
මම පාඩම් කරමි,1
මම ගෙවතු වැඩ කරන්නෙමි,1
මම සේවය කරමි,1
මම රැකියාව කරමි,1
මම කාර්යාල වැඩ කළෙමි,1
මම ගෙදර වැඩ කළෙමි,1
මම සාමූහික වැඩ කළෙමි,1
මම අධ්‍යාපන කටයුතු කළෙමි,1
මම මහන්සි වී වැඩ කරමි,1
මම අධ්‍යාපන කටයුතු කරන්නෙමි,1
මම පරිගණක වැඩ කරමි,1
මම ව්‍යාපාර කරමි,1
මම සමාජ සේවය කරමි,1
මම පර්යේෂණ කළෙමි,1
මම ලිපි කටයුතු කළෙමි,1
මම සාකච්ඡා කළෙමි,1
මම කණ්ඩායම් වැඩ කළෙමි,1
මම නව යෝජනා කරමි,1
මම මුදල් පරිහරණය කරන්නෙමි,1
මම ගිණුම් වැඩ කරමි,1
මම විශ්ලේෂණ කරමි,1
මම සැලසුම් කරමි,1
මම නිර්මාණ කළෙමි,1
මම චිත්‍ර ඇඳීම් කළෙමි,1
මම සංගීත වාදනය කළෙමි,1
මම කණ්ඩායම් ක්‍රීඩා කළෙමි,1
මම නව නිපැයුම් කරමි,1
මම පරිසර සංරක්ෂණය කරන්නෙමි,1
මම සත්ව සුරැකුම් කරමි,1
මම ශිෂ්‍ය උපදේශන කරමි,1
මම ගුරු සේවය කරමි,1
මම සමාජ සේවා කළෙමි,1
මම රෝගී සත්කාර කළෙමි,1
මම වෛද්‍ය සේවා කළෙමි,1
මම සෞඛ්‍ය සේවා කළෙමි,1
මම සමාජ සුභසාධන කරමි,1
මම පරිගණක මෘදුකාංග සැකසුම් කරන්නෙමි,1
මම වෙබ් අඩවි නිර්මාණ කරමි,1
මම තොරතුරු තාක්ෂණ සේවා කරමි,1
මම දත්ත විශ්ලේෂණ කරමි,1
මම පරිගණක යන්ත්‍ර අලුත්වැඩියා කළෙමි,1
මම ජාල පද්ධති නඩත්තු කළෙමි,1
මම පරිගණක ආරක්ෂණ කළෙමි,1
මම තාක්ෂණික සහය කළෙමි,1
මම නව තාක්ෂණ යෙදවුම් කරමි,1
මම ඉංජිනේරු සේවා කරන්නෙමි,1
මම යන්ත්‍ර නඩත්තු කරමි,1
මම විදුලි පද්ධති සැකසුම් කරමි,1
මම ගොඩනැගිලි සැලසුම් කරමි,1
මම මාර්ග ඉදිකිරීම් කළෙමි,1
මම පාලම් ඉදිකිරීම් කළෙමි,1
මම ජල සම්පාදන කළෙමි,1
මම සනීපාරක්ෂක සේවා කළෙමි,1
මම නව ඉදිකිරීම් කරමි,1
මම කෘෂිකාර්මික කටයුතු කරන්නෙමි,1
මම ගොවිතැන් කරමි,1
මම බෝග වගා කරමි,1
මම එළවළු වගා කරමි,1
මම පලතුරු වගා කළෙමි,1
මම බිම් සැකසුම් කළෙමි,1
මම පොහොර යෙදීම් කළෙමි,1
මම කෘමි පාලන කළෙමි,1
මම අස්වනු නෙලීම් කරමි,1
මම අධ්‍යාපන පර්යේෂණ කරන්නෙමි,1
මම විද්‍යාත්මක පරීක්ෂණ කරමි,1
මම සමාජ විද්‍යා පර්යේෂණ කරමි,1
මම මනෝ විද්‍යා අධ්‍යයන කරමි,1
මම භාෂා පර්යේෂණ කළෙමි,1
මම සාහිත්‍ය විචාර කළෙමි,1
මම කලා විවේචන කළෙමි,1
මම සංස්කෘතික අධ්‍යයන කළෙමි,1
මම නව සොයාගැනීම් කරමි,1
මම මාධ්‍ය වැඩ කරන්නෙමි,1
මම පුවත්පත් වාර්තාකරණ කරමි,1
මම රූපවාහිනී වැඩසටහන් කරමි,1
මම ගුවන්විදුලි වැඩසටහන් කරමි,1
මම මාධ්‍ය විශ්ලේෂණ කළෙමි,1
මම ප්‍රවෘත්ති වාර්තාකරණ කළෙමි,1
මම සජීව විකාශන කළෙමි,1
මම වාර්තා චිත්‍රපට නිෂ්පාදන කළෙමි,1
මම නව මාධ්‍ය නිර්මාණ කරමි,1
මම විද්‍යුත් මාධ්‍ය කරන්නෙමි,1
මම පුවත් විශ්ලේෂණ කරමි,1
මම මාධ්‍ය සමීක්ෂණ කරමි,1
මම වෙළඳ ප්‍රචාරණ කරමි,1
මම මහජන සම්බන්ධතා කළෙමි,1
මම වෙළඳ ප්‍රදර්ශන කළෙමි,1
මම නිෂ්පාදන හඳුන්වාදීම් කළෙමි,1
මම වෙළඳපල සමීක්ෂණ කළෙමි,1
මම නව වෙළඳ උපාය කරමි,1
මම ක්‍රීඩා පුහුණු කරන්නෙමි,1
මම ව්‍යායාම කරමි,1
මම යෝග පුහුණු කරමි,1
මම දිවීම් පුහුණු කරමි,1
මම පිහිනුම් පුහුණු කළෙමි,1
මම බර ඉසිලීම් කළෙමි,1
මම මලල ක්‍රීඩා කළෙමි,1
මම ක්‍රිකට් පුහුණු කළෙමි,1
මම නව ක්‍රීඩා ක්‍රම කරමි,1
මම සංගීත රචනා කරන්නෙමි,1
මම ගීත රචනා කරමි,1
මම සංගීත නිෂ්පාදන කරමි,1
මම වාද්‍ය භාණ්ඩ වාදන කරමි,1
මම සංගීත ප්‍රසංග කළෙමි,1
මම ගායන ඉදිරිපත් කළෙමි,1
මම නර්තන ඉදිරිපත් කළෙමි,1
මම සාම්ප්‍රදායික නැටුම් කළෙමි,1
මම නව සංගීත නිර්මාණ කරමි,1
මම පරිසර සංරක්ෂණ කරන්නෙමි,1
මම වන සංරක්ෂණ කරමි,1
මම ජල සංරක්ෂණ කරමි,1
මම සත්ව සංරක්ෂණ කරමි,1
මම පාරිසරික අධ්‍යයන කළෙමි,1
මම ස්වභාව සමීක්ෂණ කළෙමි,1
මම පරිසර පිරිසිදු කිරීම් කළෙමි,1
මම ප්‍රතිචක්‍රීකරණ කළෙමි,1
මම නව පාරිසරික ව්‍යාපෘති කරමි,1
මම සමාජ සේවා කරන්නෙමි,1
මම ළමා සුභසාධන කරමි,1
මම වැඩිහිටි සත්කාර කරමි,1
මම ආබාධිත සුභසාධන කරමි,1
මම දිළිඳු සහන කළෙමි,1
මම ආපදා සහන කළෙමි,1
මම ප්‍රජා සංවර්ධන කළෙමි,1
මම සමාජ සවිබල ගැන්වීම් කළෙමි,1
මම නව සමාජ වැඩසටහන් කරමි,1
මම පාරම්පරික වෙද කරන්නෙමි,1
මම ආයුර්වේද වෛද්‍ය කරමි,1
මම ප්‍රතිකාර කරමි,1
මම රෝග විනිශ්චය කරමි,1
මම බෙහෙත් සැකසීම් කළෙමි,1
මම ඖෂධ නිෂ්පාදන කළෙමි,1
මම රෝග පරීක්ෂණ කළෙමි,1
මම උපදේශන සේවා කළෙමි,1
මම සෞඛ්‍ය අධ්‍යාපන කරමි,1
මම ගණිත ගැටළු විසඳුම් කරන්නෙමි,1
මම විද්‍යා පර්යේෂණ කරමි,1
මම රසායන විශ්ලේෂණ කරමි,1
මම ජීව විද්‍යා අධ්‍යයන කරමි,1
මම තාරකා විද්‍යා අධ්‍යයන කළෙමි,1
මම භෞතික විද්‍යා පර්යේෂණ කළෙමි,1
මම පාරිසරික අධ්‍යයන කළෙමි,1
මම විද්‍යාගාර පරීක්ෂණ කළෙමි,1
මම නව විද්‍යාත්මක සොයාගැනීම් කරමි,1
මම භාෂා පරිවර්තන කරන්නෙමි,1
මම සාහිත්‍ය නිර්මාණ කරමි,1
මම කාව්‍ය රචනා කරමි,1
මම නවකතා රචනා කරමි,1
මම කෙටිකතා ලියන කළෙමි,1
මම පද්‍ය රචනා කළෙමි,1
මම නාට්‍ය රචනා කළෙමි,1
මම පුවත්පත් ලිපි කළෙමි,1
මම සඟරා ලිපි කරමි,1
අපි පාසල් යනවා,0
අපි වැඩට යන්නේය,0
අපි ගෙදර යති,0
අපි කඩේට යයි,0
අපි පන්සලට ගියේය,0
අපි රැස්වීමට ගියා,0
අපි උත්සවයට ගියහ,0
අපි පුස්තකාලයට ගියෙමි,0
අපි පිටරට යමි,0
අපි කොළඹට යනවා,0
අපි නගරයට යන්නේය,0
අපි සාප්පුවට යති,0
අපි තරඟයට යයි,0
අපි විහාරයට ගියේය,0
අපි සම්මන්ත්‍රණයට ගියා,0
අපි ක්‍රීඩාපිටියට ගියහ,0
අපි කාර්යාලයට ගියෙමි,0
අපි වනයට යමි,0
අපි මුහුදට යනවා,0
අපි කඳුරට යන්නේය,0
අපි සිනමාහලට යති,0
අපි රඟහලට යයි,0
අපි කීඩාංගනයට ගියේය,0
අපි සාදයට ගියා,0
අපි විභාගයට ගියහ,0
අපි පිහිනුම් තටාකයට ගියෙමි,0
අපි වෙරළට යමි,0
අපි බස් නැවතුමට යනවා,0
අපි දුම්රිය ස්ථානයට යන්නේය,0
අපි ගුවන්තොටුපලට යති,0
අපි වරායට යයි,0
අපි රෝහලට ගියේය,0
අපි සායනයට ගියා,0
අපි ඉස්පිරිතාලයට ගියහ,0
අපි වෛද්‍යවරයා වෙත ගියෙමි,0
අපි බෙහෙත්ශාලාවට යමි,0
අපි උද්‍යානයට යනවා,0
අපි උයනට යන්නේය,0
අපි මල්වත්තට යති,0
අපි පුහුණුවට යයි,0
අපි සම්මුඛ පරීක්ෂණයට ගියේය,0
අපි සාකච්ඡාවට ගියා,0
අපි රැස්වීම් ශාලාවට ගියහ,0
අපි සම්මන්ත්‍රණ ශාලාවට ගියෙමි,0
අපි දේශනයට යමි,0
අපි කොන්සර්ට් එකට යනවා,0
අපි ප්‍රදර්ශනයට යන්නේය,0
අපි කලා උළෙලට යති,0
අපි සංගීත ප්‍රසංගයට යයි,0
අපි නාට්‍යයට ගියේය,0
අපි චිත්‍රපටයට ගියා,0
අපි විවාහ මංගල්‍යයට ගියහ,0
අපි දානයට ගියෙමි,0
අපි පින්කමට යමි,0
අපි ආගමික වතාවතට යනවා,0
අපි බෝධි පූජාවට යන්නේය,0
අපි දහම් පාසලට යති,0
අපි පිරිත් පිංකමට යයි,0
අපි කඨින පූජාවට ගියේය,0
අපි වෙසක් උත්සවයට ගියා,0
අපි පොසොන් උත්සවයට ගියහ,0
අපි ධර්ම දේශනාවට ගියෙමි,0
අපි භාවනාවට යමි,0
අපි ගිම්හාන කඳවුරට යනවා,0
අපි ක්‍රීඩා තරඟයට යන්නේය,0
අපි පාපන්දු තරඟයට යති,0
අපි ක්‍රිකට් තරඟයට යයි,0
අපි වොලිබෝල් තරඟයට ගියේය,0
අපි බැඩ්මින්ටන් තරඟයට ගියා,0
අපි මලල ක්‍රීඩා තරඟයට ගියහ,0
අපි කරාටේ තරඟයට ගියෙමි,0
අපි ජුඩෝ තරඟයට යමි,0
අපි සාප්පු සවාරියට යනවා,0
අපි වෙළඳසැලට යන්නේය,0
අපි සූපිරි වෙළඳසැලට යති,0
අපි බඩු ගන්න යයි,0
අපි කඩවීදියට ගියේය,0
අපි වෙළඳ සංකීර්ණයට ගියා,0
අපි පොළට ගියහ,0
අපි සතිපොළට ගියෙමි,0
අපි තොග වෙළඳසැලට යමි,0
අපි විශ්වවිද්‍යාලයට යනවා,0
අපි පාඨමාලාවට යන්නේය,0
අපි සම්මන්ත්‍රණයට යති,0
අපි සම්මුඛ සාකච්ඡාවට යයි,0
අපි පන්ති කාමරයට ගියේය,0
අපි පුස්තකාලයට ගියා,0
අපි විභාග ශාලාවට ගියහ,0
අපි ප්‍රායෝගික පන්තියට ගියෙමි,0
අපි විද්‍යාගාරයට යමි,0
අපි නිවාඩුවට යනවා,0
අපි සංචාරයට යන්නේය,0
අපි චාරිකාවට යති,0
අපි විනෝද චාරිකාවට යයි,0
අපි වන්දනාවට ගියේය,0
අපි කඳවුරට ගියා,0
අපි පිකනික් යන්න ගියහ,0
අපි නෑදෑ ගමට ගියෙමි,0
අපි උත්සව භූමියට යමි,0
අපි සුනඛ සායනයට යනවා,0
අපි පශු වෛද්‍ය මධ්‍යස්ථානයට යන්නේය,0
අපි සත්ව රෝහලට යති,0
අපි සතුන් බලන්න යයි,0
අපි සත්ව උද්‍යානයට ගියේය,0
අපි ඇතුන් අලි පට්ටියට ගියා,0
අපි කුරුළු උයනට ගියහ,0
අපි මත්ස්‍ය උද්‍යානයට ගියෙමි,0
අපි වන උද්‍යානයට යමි,0
අපි මුද්‍රණාලයට යනවා,0
අපි ඡායාරූප ශාලාවට යන්නේය,0
අපි පිටපත් කිරීමට යති,0
අපි ලේඛන සකසන්න යයි,0
අපි මුද්‍රණ කටයුතු සඳහා ගියේය,0
අපි පරිගණක මධ්‍යස්ථානයට ගියා,0
අපි අන්තර්ජාල කැෆේ එකට ගියහ,0
අපි ලිපි ලේඛන සකසන්න ගියෙමි,0
අපි පිටපත් ගන්න යමි,0
අපි රාජකාරියට යනවා,0
අපි රැකියාවට යන්නේය,0
අපි සේවයට යති,0
අපි වැඩ කරන්න යයි,0
අපි කාර්යාලීය වැඩට ගියේය,0
අපි රැකියා ස්ථානයට ගියා,0
අපි සේවා ස්ථානයට ගියහ,0
අපි රාජකාරි කටයුතුවලට ගියෙමි,0
අපි වැඩ කරන තැනට යමි,0
අපි ගෙවත්තට යනවා,0
අපි කුඹුරට යන්නේය,0
අපි වගා බිමට යති,0
අපි හේනට යයි,0
අපි වත්තට ගියේය,0
අපි පොල් වත්තට ගියා,0
අපි තේ වත්තට ගියහ,0
අපි රබර් වත්තට ගියෙමි,0
අපි එළවළු වත්තට යමි,0
අපි වාහන අලුත්වැඩියා කරන්න යනවා,0
අපි ගරාජයට යන්නේය,0
අපි සර්විස් සැන්ටර් එකට යති,0
අපි වාහන සේවා මධ්‍යස්ථානයට යයි,0
අපි කාර් වොෂ් එකට ගියේය,0
අපි ටයර් සවි කරන්න ගියා,0
අපි එන්ජින් ඔයිල් මාරු කරන්න ගියහ,0
අපි බැටරි චෙක් කරන්න ගියෙමි,0
අපි වාහන පරීක්ෂා කරන්න යමි,0
අපි රැස්වීම් ශාලාවට යනවා,0
අපි සභා ගැබට යන්නේය,0
අපි සම්මන්ත්‍රණ කාමරයට යති,0
අපි විධායක කාමරයට යයි,0
අපි සාකච්ඡා කාමරයට ගියේය,0
අපි කළමනාකරණ රැස්වීමට ගියා,0
අපි වාර්ෂික රැස්වීමට ගියහ,0
අපි සාමාජික රැස්වීමට ගියෙමි,0
අපි විශේෂ රැස්වීමට යමි,0
අපි කසිප්පු බෝතලයක් ගන්න යනවා,0
අපි මත්පැන් හලට යන්නේය,0
අපි බියර් බෝතලයක් ගන්න යති,0
අපි වයින් ෂොප් එකට යයි,0
අපි අරක්කු බෝතලයක් ගන්න ගියේය,0
අපි වොඩ්කා බෝතලයක් ගන්න ගියා,0
අපි විස්කි බෝතලයක් ගන්න ගියහ,0
අපි බ්‍රැන්ඩි බෝතලයක් ගන්න ගියෙමි,0
අපි ජින් බෝතලයක් ගන්න යමි,0
අපි ධර්මශාලාවට යනවා,0
අපි පිරිවෙනට යන්නේය,0
අපි පන්සල් මාලිගාවට යති,0
අපි බෝධි මළුවට යයි,0
අපි දාගැබට ගියේය,0
අපි විහාර මන්දිරයට ගියා,0
අපි ධර්ම ශාලාවට ගියහ,0
අපි බුද්ධ මන්දිරයට ගියෙමි,0
අපි සංඝාවාසයට යමි,0
අපි ඔඩ්ඩි බලන්න යනවා,0
අපි හොරොස්කෝප් බලන්න යන්නේය,0
අපි පනුවන් කපන්න යති,0
අපි ග්‍රහ දෝෂ බලන්න යයි,0
අපි ජෝතිෂ්‍ය කාර්යාලයට ගියේය,0
අපි නැකැත් බලන්න ගියා,0
අපි කෙල්ල බලන්න ගියහ,0
අපි පොරොන්දම් බලන්න ගියෙමි,0
අපි හස්ත රේඛා බලන්න යමි,0
මම කතාවක් කියමි,1
මම රහසක් කියන්නෙමි,1
මම පොතක් කියමි,1
මම කවියක් කිව්වෙමි,1
මම සිංදුවක් කියමි,1
මම කතන්දරයක් කියන්නෙමි,1
මම පද්‍යයක් කිව්වෙමි,1
මම ලියවිල්ලක් කියමි,1
මම පණිවිඩයක් කියන්නෙමි,1
මම දෙබසක් කිව්වෙමි,1
මම සත්‍යයක් කියමි,1
මම තොරතුරක් කියන්නෙමි,1
මම අදහසක් කිව්වෙමි,1
මම කරුණක් කියමි,1
මම වචනයක් කියන්නෙමි,1
මම ප්‍රවෘත්තියක් කිව්වෙමි,1
මම කාරණයක් කියමි,1
මම යථාර්ථයක් කියන්නෙමි,1
මම විස්තරයක් කිව්වෙමි,1
මම පාඩමක් කියමි,1
මම කවක් කියන්නෙමි,1
මම සිද්ධියක් කිව්වෙමි,1
මම නමක් කියමි,1
මම ගීතයක් කියන්නෙමි,1
මම වාක්‍යයක් කිව්වෙමි,1
මම චරිතයක් කියමි,1
මම සිතුවිල්ලක් කියන්නෙමි,1
මම මතකයක් කිව්වෙමි,1
මම අවවාදයක් කියමි,1
මම උපදේශයක් කියන්නෙමි,1
මම තීරණයක් කිව්වෙමි,1
මම මතයක් කියමි,1
මම නිගමනයක් කියන්නෙමි,1
මම සැලැස්මක් කිව්වෙමි,1
මම විශේෂයක් කියමි,1
මම වැදගත්කමක් කියන්නෙමි,1
මම වගන්තියක් කිව්වෙමි,1
මම පිළිතුරක් කියමි,1
මම ප්‍රශ්නයක් කියන්නෙමි,1
මම උත්තරයක් කිව්වෙමි,1
මම සිහිනයක් කියමි,1
මම බලාපොරොත්තුවක් කියන්නෙමි,1
මම අනාවැකියක් කිව්වෙමි,1
මම පුවතක් කියමි,1
මම ඇත්තක් කියන්නෙමි,1
මම නැත්තක් කිව්වෙමි,1
මම හැඟීමක් කියමි,1
මම සිතුමක් කියන්නෙමි,1
මම දැනීමක් කිව්වෙමි,1
මම සංකල්පයක් කියමි,1
මම නිර්වචනයක් කියන්නෙමි,1
මම පැහැදිලි කිරීමක් කිව්වෙමි,1
මම විස්තරයක් කියමි,1
මම පැමිණිල්ලක් කියන්නෙමි,1
මම දුකක් කිව්වෙමි,1
මම සතුටක් කියමි,1
මම සැකයක් කියන්නෙමි,1
මම විශ්වාසයක් කිව්වෙමි,1
මම බියක් කියමි,1
මම ආදරයක් කියන්නෙමි,1
මම ක්‍රියාවක් කිව්වෙමි,1
මම සිද්ධාන්තයක් කියමි,1
මම න්‍යායයක් කියන්නෙමි,1
